host_age,packet_count,reply_ratio,flow_refresh_count,unique_destination_count,topology_change_count,trust_score,inactivity_score,label
3257.8400803800178,574.8096906257063,0.6490524594609859,3,7,2,85.00881658826725,0.3098252084585673,0
1911.6897254104667,4980.391049096634,0.6781228666215534,7,1,0,80.95930990307434,0.39196013012748726,0
3212.101923700981,67.67685640486106,0.7496561434039555,14,4,2,84.96155167102731,0.14495010095386548,0
50.79231312762112,14331.226053210103,0.03985572701466264,1,216,431,11.226536298786293,0.9762049881806341,1
6.537415450901535,3440.710176982281,0.05911899390648917,0,97,374,24.715482987669162,0.6845468867285422,1
37.23677997101807,14920.907760401615,0.15652319716273055,0,281,312,8.772649986616598,0.525631260078117,1
4474.015357143854,4669.447940261107,0.9991890310987428,10,3,1,99.37255142129763,0.31720495950775945,0
45.04280076863679,578.710064014013,0.1529711322566966,0,76,353,43.563862439264824,0.6168120106818129,1
45.61303032900468,801.2104129942752,0.20657254727351015,3,43,137,46.29249017989075,0.6411932851794293,1
4040.4187274097135,2200.5434531443325,0.7901265729431411,19,1,1,71.932065838426,0.14139387042545226,0
3997.5766717425477,4670.193537955054,0.679748663117895,21,1,1,85.7757153769586,0.1364518902609566,0
1877.7843694502867,267.7027363547843,0.6241142662937917,16,6,1,99.37694792322687,0.32779807265879607,0
37.21660800159695,1720.8887871924057,0.10753597999093828,0,156,92,24.370411352167533,0.5786998733762234,1
4548.880608378618,3798.139720708018,0.6110631929775261,18,7,1,81.4702209314382,0.10715970491635259,0
25.424664361032665,2701.740890837703,0.16451014328811572,1,58,25,37.81509871719151,0.6053006211310468,1
38.45238240008071,911.2900630917607,0.0456315070749254,4,24,118,55.0,0.8195075047463152,1
25.845235694951473,1552.7984669152906,0.13054044937378467,0,52,223,28.068363681314718,0.7066348248100376,1
2117.2936824465132,4177.110191329964,0.5519421853316492,20,2,2,93.80450063240846,0.1571305981102188,0
40.215100832094215,13504.319460156707,0.11314833122345416,1,203,48,31.60569333429123,0.9840357245330313,1
6.19350739122868,14325.167376641766,0.07819583921703588,3,94,319,53.772178865353,0.9854376573097784,1
1945.5116847470658,637.9380059125145,0.8096858159530074,27,4,0,91.36107398517183,0.14899134566004785,0
2384.3537335678698,802.746310425777,0.7904911641153505,6,2,2,76.33885473143118,0.3277701996073302,0
30.938520798501436,13068.775101489988,0.17319428829561684,0,264,316,30.1986632299481,0.6618495017654845,1
2893.2167907935577,193.00447245754737,0.6270610615727863,27,9,1,93.5769866700553,0.08844671983837911,0
22.760109874620873,474.7141569724023,0.16016960897752944,1,295,185,43.23578474956931,0.925704561399119,1
33.25699077488176,983.9776882874373,0.12273616626919612,1,227,54,24.11340984897686,0.8571588775566782,1
1491.7952324125208,2132.3997781889348,0.7514354857850408,8,6,1,89.9665322581612,0.3052689575489642,0
4654.417350764529,623.1596939085174,0.8294467221473218,25,8,1,91.26429194184679,0.3195310132659073,0
3682.613891430311,810.6908049185215,0.7896249036831898,28,6,1,71.35734098233004,0.1811247246525486,0
4167.5728654098,2507.975316841819,0.6301304206185514,22,9,1,82.38387573160341,0.12430888313666383,0
833.2755337026018,2996.564240155625,0.6256006999430311,24,6,2,75.97460521761613,0.19226699502945524,0
48.97737015976414,1891.489610357436,0.1224019387948217,0,67,417,31.397159054030116,0.9433401761093384,1
4.088676414616719,2368.553470766021,0.12850289730186004,0,231,494,28.691778711971537,0.7944096905850124,1
48.997932306595864,3872.8460197642457,0.12313576747672497,1,137,362,35.133464364690184,0.7533052685720798,1
1621.8592899216153,4939.198228677358,0.751129879051293,19,8,0,88.45527434149727,0.09092929003579227,0
4288.773534391406,224.93440425438638,0.6492877492261698,9,8,0,77.15441219782544,0.23872119243986473,0
2253.5614743393357,3068.5576207468653,0.571410628730328,4,7,2,90.38858514066484,0.31861807844145396,0
1490.402953900182,772.030956525588,0.577718970144015,6,4,1,94.84448534142058,0.23450842214758036,0
3191.345482519895,809.2238050034307,0.9614061934182052,21,6,0,99.95882947094017,0.13677619040811492,0
2278.0799951371487,464.82433309733096,0.6218227021189887,6,8,0,80.79663421691917,0.250819876295633,0
33.04597532485165,338.66898391015064,0.23214669025178541,1,51,343,44.458996336707386,0.929163862888919,1
19.485562063148436,8618.906146845435,0.24854037985077118,0,38,211,18.522366621234383,0.6188218176442861,1
828.6618763344899,710.3385834507533,0.6376523622902251,19,4,2,89.28460398523973,0.10495684588235044,0
244.6808594908782,631.1118081266059,0.9236801824734189,10,1,1,86.53893619393213,0.03651553077051606,0
4977.912553595913,470.0462756163663,0.6335292151373169,9,1,2,99.78005716877834,0.2654719772053363,0
2807.713412232572,955.5517589529936,0.565432348077687,21,9,0,75.0709552355309,0.02262547188058206,0
17.63244981407234,970.4618032146552,0.1834665097490924,3,251,190,51.95679899064693,0.9255148183658374,1
2201.8921388057015,3030.9550477088605,0.8417024269369414,7,1,2,88.51563014587235,0.17825399758458005,0
428.2305059468279,272.48728536810955,0.8105179793598958,10,8,1,89.94524257426335,0.13087047021590378,0
4160.417947141199,629.0643821470703,0.8925187004918675,8,8,0,78.30022716726057,0.22345326878595612,0
51.980155342028695,718.2037042206268,0.04706804356586747,1,90,132,20.991017411883362,0.9564710168020261,1
50.281172522221155,1450.1840487278582,0.1352785496827213,0,95,341,27.087574078468716,0.8434821935436148,1
4944.384896890661,150.6185132897981,0.6005800227254267,7,1,1,71.85114636616694,0.3041566515890532,0
20.820846115763523,4156.684100483209,0.02857763348315631,0,297,155,35.81612801516131,0.5171288615202934,1
40.13667431002076,8420.85144310401,0.004735095065708822,0,84,163,35.74839385186992,0.6796461461469799,1
2438.622611170917,84.02380801130425,0.8241965098663968,27,6,0,91.45974233691231,0.0011160397780852094,0
4644.404596130409,3375.106215794111,0.8910892142870819,9,9,0,85.40181934918348,0.24518617785461982,0
1.5726111134670098,637.5483513055561,0.001898507535973204,1,72,56,33.20861183448769,0.9912081602075503,1
32.978225787466144,381.3523855588184,0.16119861752503437,0,89,135,16.197706117814523,0.5369942864381381,1
22.258215098669197,12677.38432412433,0.2011457499482962,0,74,492,9.031099099224388,0.722444087376662,1
4417.827260782114,2950.0091144811195,0.9623642980340781,7,3,2,97.56558567649313,0.24363266200840542,0
12.109103845974456,340.68398702643884,0.14438336826209505,1,49,454,3.543519544813076,0.7172383711975571,1
57.83572363688767,4854.927529463535,0.03140459401030565,1,115,180,17.997672918137972,0.9500404990177318,1
3643.1086772685567,53.453227869298054,0.7189834444482311,20,9,0,72.34605164928332,0.31908605514322136,0
1048.5180322219785,3023.116568422316,0.9916994412375915,17,2,0,76.35815429925232,0.18798317440845716,0
6.343923490172239,2823.969987835868,0.13508385731852735,0,54,153,6.333787816727167,0.8957396346207762,1
2533.1121127369283,3888.07994075152,0.5945693834391788,11,4,0,98.09956995320394,0.22663450766908558,0
4220.838961779498,423.4829760485367,0.7744963497982571,26,3,1,88.69497484596931,0.15146027530107564,0
9.428279347300878,7597.671636155146,0.34448545820325477,1,261,289,53.634975296653245,0.7987448400578329,1
52.45187045590826,715.9924365064438,0.03239653576813964,1,87,48,12.664283552743271,0.6704617472883114,1
2796.0717093486323,177.6009298455446,0.9257410023863735,5,3,1,94.13979523257049,0.3130710473032195,0
3959.134137878474,216.69287531024275,0.9028127213615115,4,4,2,81.29372227531925,0.23256530524948166,0
